H_City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
38,riasi,IN,33.0833,74.8333,47,No hotel found
52,esmeraldas,BR,-19.7625,-44.3139,49,No hotel found
102,toliara,MG,-23.35,43.6667,83,Ambary
128,dzhalagash,KZ,45.0833,64.6667,27,No hotel found
145,colonia,DE,50.9333,6.95,51,Wasserturm Hotel Cologne
188,arraial do cabo,BR,-22.9661,-42.0278,73,No hotel found
234,pollock pines,US,38.7613,-120.5866,50,North Canyon Inn Bed & Breakfast
305,carloforte,IT,39.145,8.3058,91,Hotel Riviera
313,roses,ES,42.262,3.1769,87,Ramblamar
446,paphos,CY,34.7667,32.4167,78,Mayfair Hotel
499,orchard homes,US,46.8633,-114.0484,51,Broadway Inn
538,antonio enes,MZ,-16.2325,39.9086,87,Hotel Quirimbas
584,san sebastian de la gomera,ES,28.0916,-17.1133,68,Hotel Villa Gomera
